,z
RGS2,-9.248753
LGALS3,-9.021598
IL1B,8.050065
KIF14,6.853037
MYC,6.5588255
PAK1,6.411828
TXNDC9,6.2819033
ITGB5,6.1497183
BNIP3,-5.9426613
VIM,-5.8115044
PRKCD,5.7677875
SFN,5.6738977
OXSR1,5.4487505
PRSS23,-5.4366775
STXBP1,5.4021244
MYBL2,5.050791
HOXA10,-4.892496
CXCL2,4.6796484
CDKN1A,4.6601014
GADD45B,-4.409925
ATP1B1,-4.376369
COG7,-4.35091
TIAM1,4.291327
LBR,4.198453
MOK,-4.1943502
BLMH,4.1927204
DUSP4,-4.1390576
CRELD2,-4.13414
SSBP2,4.107955
BHLHE40,-4.107545
ACAA1,4.0210705
CDK19,-3.8830292
GFOD1,3.8791847
TSPAN3,3.8538067
NFATC4,3.8476014
DUSP6,-3.8429475
MEF2C,3.8262093
RPIA,3.7861629
KCNK1,3.783486
FOS,-3.7725286
PUF60,-3.7425556
EIF4G1,3.739184
ASPH,-3.7207148
SPDEF,-3.6887057
MICALL1,3.6874948
GLRX,-3.617372
RELB,3.572794
CHEK1,3.5512772
PPARG,-3.5442088
CAT,3.537015
RNF167,-3.5199656
SPAG4,-3.4613736
DDX10,3.457311
SOX4,-3.4294226
VAPB,3.4285924
BMP4,3.4043455
ERBB3,3.368194
CSRP1,3.3585088
YME1L1,3.346295
PNKP,3.3453798
LRRC16A,3.344137
MAST2,3.327925
NFKBIE,3.324952
MRPS16,-3.3214684
SCARB1,3.314865
TLR4,3.29964
POLR2I,-3.2973745
ARID5B,-3.2926617
BASP1,-3.2798882
BTK,3.2409048
GOLT1B,-3.2381606
ID2,-3.2171845
DYNLT3,-3.2081008
PPP1R13B,3.201782
MMP1,-3.1933074
TLE1,3.1916585
SIRT3,3.1852326
FOXO3,3.1710317
PGM1,3.1702738
SOX2,3.1397738
CASP10,3.1397688
GSTZ1,-3.134338
JUN,3.1302397
MTERF3,-3.1267886
CNOT4,3.0887263
ALDH7A1,-3.07228
PLK1,3.0671418
NCK2,3.0580258
CD40,3.057154
ELOVL6,3.0496304
HDGFRP3,3.0458863
NCK1,3.0280914
PPARD,2.953713
TRAPPC3,-2.946516
MTHFD2,2.9309378
SQSTM1,2.9302225
ALDOC,-2.8888228
GADD45A,2.867258
STUB1,-2.8493297
HSPA8,-2.8039331
EEF1D,-2.7995524
LIPA,-2.7885976
DHCR7,2.7824538
FZD1,2.7781143
STMN1,-2.7603614
RRP1B,2.7564878
ITGAE,2.7060401
BAG3,-2.7059004
C2CD2,2.6887958
NOS3,-2.6691415
NRIP1,2.6673536
PIK3C2B,-2.6607215
FYN,2.6326609
GTF2E2,2.6316586
CCNE2,2.6262863
DSG3,2.609342
KIF20A,-2.5984132
PDIA5,2.5971413
CCNA1,2.5952365
HMOX1,-2.5948236
KIF1BP,-2.5872607
IFT27,-2.5735714
FAM120A,2.5663505
NTAN1,-2.556942
SUPV3L1,-2.553498
CLPX,2.54026
GNAS,-2.5272794
SUPT4H1,-2.5193257
HEATR1,-2.5074735
NOLC1,2.499168
TP53TG1,-2.4986348
TRMT2B,-2.4903233
SNX4,2.4858418
NLE1,2.478709
ZSWIM8,-2.4778874
TBCB,-2.4405982
FPGS,2.4403512
IKBKE,2.411499
RPP38,2.4104517
CANT1,-2.4029772
TSEN2,-2.3809667
SEH1L,2.3455997
INPP4B,-2.344095
HIST1H2BD,-2.3383257
BGN,2.326079
IPO9,2.3124983
SPTLC2,2.3120918
HSPA4,2.310522
CUEDC2,-2.3052087
PA2G4,2.3048673
DSG2,2.2951775
FUCA1,2.2875216
HIST1H2BK,-2.2824905
EIF3G,-2.2807837
PSMD11,2.2777998
FDFT1,2.2774425
P4HA1,-2.2749271
PSAP,-2.2679136
MAP7,2.2677402
COMP,2.2591596
ST6GALNAC2,-2.258519
SPINT2,2.2549796
GEMIN4,2.2527447
PFAS,2.247838
HLA-DQB2,-2.2419283
MCM10,2.236284
CRYZ,-2.2348003
NARS2,2.2307928
RRS1,2.22296
WDR12,2.2219853
SAMM50,-2.2216902
IER3,-2.2157912
KIAA0907,2.2144847
ARL4C,-2.2106757
TGFB3,-2.2097104
NUCB2,-2.2031872
PFDN5,-2.1984997
HSPD1,2.1950104
TUBA1A,-2.1937416
NFIL3,2.1924913
PSMG1,2.1917403
KRT6A,2.1875017
TRAF2,2.1856384
RAP1GAP,2.1807196
TCTN1,-2.1744924
TIMP2,-2.1727798
CUTA,-2.1638954
AARS,2.1624665
MYCBP2,2.1514223
SNX7,-2.149668
CHAC1,-2.1466608
AFF1,2.143548
INPP1,2.142746
SMC1A,2.1423554
NPAT,2.1344676
SLC14A1,-2.1341033
CPSF1,-2.1310058
IL24,2.127854
PARN,-2.1260033
CRISPLD2,2.12566
HAGH,-2.1234589
PRRC2C,2.122304
HLA-DRA,2.119883
ADGRG1,-2.1189945
EPRS,2.1182196
PTGER4,-2.112113
COPE,-2.1116076
CLINT1,2.1054707
APPBP2,-2.105111
PRMT3,2.1027243
TUBB6,-2.0984726
IFRD2,2.0966296
DDIT4,2.0961435
DPF2,2.0918355
EIF3J,2.0915298
NAT10,2.0796642
PYGL,2.078052
ANXA2P2,-2.073476
CYP2E1,-2.073371
CYHR1,-2.0683756
HCFC1R1,-2.065364
FNBP4,2.0568705
DLAT,2.0498233
SPP1,-2.0463758
RBKS,-2.040429
TTC33,-2.0364044
TBRG4,2.0326366
DNAJC22,-2.0307636
FTSJ1,2.0289783
SLC1A5,2.0277112
MNDA,-2.026058
DNAJC9,-2.024435
MT1M,2.0238461
SPAG9,2.0214
SPRR1A,2.0201185
CXCL1,2.012536
MPHOSPH8,-2.0114138
OBFC1,-2.0099409
SLC27A3,-2.009084
ABHD6,2.0067692
PUS7,2.0064278
CCDC86,2.0057788
ENY2,-1.9960914
CORO2A,1.9957633
GNPDA1,1.995716
KPNB1,1.9936756
SPOP,1.9930971
CXCL6,1.9889071
PKIG,-1.9886925
TCERG1,1.9866592
SUGP1,-1.9857877
CGGBP1,-1.9845353
CD320,1.9702487
PLTP,1.9640753
SAYSD1,-1.9610983
KIF18A,1.9598848
SNX5,1.955831
ACLY,1.9539835
NUBP1,-1.9538741
HSD17B12,1.9506149
IGHMBP2,1.9380212
CXCL3,1.9376812
ATXN10,-1.9361446
MFAP2,1.9350187
ASNS,-1.9343795
ATP6V1D,-1.9338915
KCNJ16,1.9325881
BID,-1.9318683
PAICS,1.9315414
CCSER2,-1.9304078
TRAP1,1.9288793
LTN1,1.9264238
TYROBP,-1.9254107
SPRR1B,1.9249244
MECR,1.9243748
DNTTIP2,1.9242952
DDB2,-1.9236071
PFDN6,-1.9227619
PAK6,1.9212776
DNAAF1,-1.917083
DNAJB2,-1.9168544
ZNF337,-1.9150665
GEMIN2,1.9142681
ZNF16,-1.9132378
SIDT1,-1.9092152
KATNB1,1.9088275
TRAF3,1.9053938
OSBPL9,1.903576
PKP1,1.8990781
USP18,-1.897811
DNAJA3,1.8971703
ELAVL1,1.8956039
NOL3,-1.8919165
PMS2P3,1.8893547
S100A13,-1.8865967
ST6GALNAC4,1.8844166
GRN,-1.8792691
CCT8,1.8752996
RBMX2,1.8726721
E2F2,-1.8656671
RBM8A,-1.8571322
GJB3,1.8570465
CXCL5,1.8568667
POU2F2,1.8560586
LAD1,1.8533928
TATDN2,1.8525813
FCN1,-1.8499339
SMAD2,1.8484436
MERTK,1.844657
THAP9-AS1,1.8420933
PSMD5,1.8381684
CLN6,1.831444
ANKRD17,1.8284081
IL1A,1.8248427
DHX30,1.8242028
ZNF184,-1.8235428
SLC25A20,1.820137
UPF2,1.819513
UBL3,-1.8191726
UQCRB,-1.8189332
NUP98,1.8173606
SDF2L1,-1.8147126
ENOPH1,1.8140192
RELN,-1.8139704
IGBP1,-1.8132032
UBN1,-1.812645
DDX50,-1.8114675
TOMM70A,1.8102692
MAPK13,1.8080921
TMEM254,-1.8074403
MOSPD1,-1.802065
CD44,-1.8019502
PYCR1,1.8016825
CD2BP2,-1.8013744
ATAD3A,1.801128
PSMD12,1.8006079
MPDZ,-1.7995872
DLG5,-1.7982504
JRKL,1.798229
PCMT1,-1.7980525
PREB,1.7967579
HOXD3,1.7966785
GART,1.7943466
PRKAA1,-1.7902763
LGR5,-1.788856
RAD23A,1.7858064
TBC1D31,1.7844422
RNF125,-1.783944
SRPK3,-1.7825549
PIH1D1,-1.7823868
FAM69A,-1.7819482
SUCLA2,1.7801362
RPS6KA1,1.7783046
CHRNB1,1.7782953
DUS1L,1.7779562
NSUN6,-1.777824
UCHL5,1.776582
BOLA1,-1.7765164
IGF2R,1.7739427
MRPL42,1.7693574
TRAIP,1.7691114
GFER,-1.7633624
ACVR1,1.7613338
CD160,-1.7612779
HIST1H2AE,-1.7611264
MAP1LC3B,-1.7602177
KLRD1,-1.7582345
NOL8,1.7553388
NUP88,1.7527342
FLCN,-1.7518744
EIF5B,1.7504637
SDHAF1,-1.7495451
GPC1,1.7493854
PCSK7,1.7483191
PTGER2,-1.7460598
HERC6,-1.7450225
CCDC92,-1.7438484
NCKIPSD,1.7396979
BUB1,1.7386155
CHD7,1.7385004
TSR3,-1.7380508
NPM3,1.7380166
PPP3CB,-1.7335963
C1orf123,-1.7323745
PGRMC1,1.7316484
LAMC1,1.7314491
TOR1A,-1.7278564
ZNF136,-1.7273395
LUC7L2,1.7272091
NFKB2,-1.7264967
NDUFS7,-1.7256404
MFN2,1.724838
APLNR,1.7219136
TBCD,1.7218778
EML1,-1.7187971
AKR1C3,1.7175648
RRP9,1.717436
DPYSL2,-1.716172
RHBDF2,1.7161474
PGK1,-1.7145782
TBC1D2,1.7138978
NDUFAB1,-1.7130576
VPS45,-1.712383
PPP2R1B,1.711276
POLR3G,1.7089515
XAB2,1.7082896
RASA3,-1.7078376
MEA1,-1.7020005
USP10,1.7019868
UBE2O,1.7016827
NKG7,-1.7016655
LRP8,1.7013396
CST7,-1.7011147
ERAL1,1.7007468
SIGMAR1,1.6947517
TJAP1,-1.6943657
SEC14L1,1.6933694
LGALS8,-1.6932714
NAA50,1.6920118
GNG11,-1.6919243
COX7A2L,-1.6899742
BBC3,1.6882372
PIK3C2G,-1.6881648
SBF1,1.6880283
PRKCZ,1.6876993
ADCK3,1.6830068
SPTLC1,1.6823292
HLA-DPA1,-1.6813701
THBS4,1.6802922
EXOSC7,1.6800765
MARCH6,1.6795075
LPCAT4,1.6782129
COBL,-1.673859
RBM47,1.6729724
KIAA0368,1.667309
TBL1XR1,1.6664389
TIA1,-1.6646137
TIMM17A,1.6644235
CSF2,1.6629323
DECR2,-1.6626947
SPSB3,-1.6624125
FAM32A,-1.6619539
FAM134A,-1.6617489
RAB32,-1.6612055
SNRPN,-1.6606566
XRCC6,-1.6596404
HGS,1.6577069
MRPS2,1.657161
CLCN7,-1.6570411
KDELR3,-1.6562444
LUC7L,-1.656156
BIRC2,-1.654716
MRPL12,1.6527555
NHLRC2,-1.6527479
CROT,-1.6527328
AUH,1.648982
TBXA2R,-1.6487925
LRRFIP2,1.6481512
MFAP3,1.6447201
CYP1B1,1.6440377
SYNE2,-1.6434302
TMBIM1,1.6427553
KRT6B,1.6421765
KIF23,1.6420202
FGL2,-1.6381046
SERINC5,1.6379919
NPRL2,1.6374387
XPNPEP1,1.6366417
ZNF432,-1.6357352
OSBPL3,-1.6353364
HCK,-1.6352274
YPEL5,-1.6340785
LGALS1,-1.633269
SLC35F2,-1.6323091
NOP2,1.6300523
FBLN2,1.6255615
SLC25A22,1.6243799
PRKD2,1.6222166
MLLT11,1.6214135
SH3TC1,1.6212147
BNIP3L,-1.6211522
BLM,1.6209607
FLOT1,-1.6206913
EPB41L2,-1.6196026
ABHD3,1.6185834
PARD3,1.6183903
